#,英文,中文,字母,主題（精選 200）,會了✓
1000,strange,奇怪的,S,,
1001,stranger,陌生人,S,,
1002,strawberry,草莓,S,,
1003,street,街道,S,,
1004,string,細繩,S,,
1005,strong,強壯的,S,,
1006,student,學生,S,學校,
1007,study,研讀、學習,S,動作,
1008,stupid,笨的,S,,
1009,subject,科目,S,,
1010,successful,成功的,S,,
1011,sugar,糖,S,,
1012,summer,夏天,S,,
1013,sun,太陽,S,天氣,
1014,Sunday,星期日,S,時間／星期／月份,
1015,sunny,晴朗的,S,天氣,
1016,supermarket,超級市場,S,,
1017,sure,確定的,S,,
1018,surf,衝浪,S,,
1019,surprise,使…驚訝,S,,
1020,surprised,感到驚訝的,S,,
1021,sweater,毛衣,S,,
1022,sweet,甜的,S,,
1023,swim,游泳,S,,
1024,swing,鞦韆、搖擺,S,,
1025,table,桌子,T,,
1026,tail,尾巴,T,,
1027,Taiwan,臺灣,T,,
1028,take,拿,T,,
1029,talk,說話,T,,
1030,tall,高的,T,形容詞,
1031,tape,錄音帶,T,,
1032,taste,品嚐,T,,
1033,taxi,計程車,T,,
1034,tea,茶,T,,
1035,teach,教導,T,,
1036,teacher,教師,T,學校,
1037,team,團隊,T,,
1038,teenager,青少年,T,,
1039,telephone (phone),電話,T,,
1040,television (TV),電視,T,,
1041,tell,告訴,T,,
1042,temple,寺廟,T,,
1043,ten,十,T,數字,
1044,tennis,網球,T,,
1045,terrible,可怕的,T,,
1046,test,考試、測試,T,學校,
1047,than,比…,T,,
1048,thank,謝謝,T,,
1049,that,那個,T,,
1050,the,這/那,T,,
1051,theater,戲院,T,,
1052,then,那時,T,,
1053,there,那裡,T,,
1054,these,這些,T,,
1055,"they (them, their, theirs, themselves)",他們,T,,
1056,thick,厚的,T,,
1057,thin,瘦的,T,,
1058,thing,事情,T,,
1059,think,想、思考,T,,
1060,third,第三〈的〉,T,,
1061,thirsty,口渴的,T,,
1062,thirteen,十三,T,,
1063,thirty,三十,T,數字,
1064,this,這個,T,,
1065,those,那些,T,,
1066,though (although),雖然,T,,
1067,thousand,千,T,數字,
1068,three,三,T,數字,
1069,throat,喉嚨,T,,
1070,through,穿過,T,,
1071,throw,丟,T,,
1072,Thursday,星期四,T,時間／星期／月份,
1073,ticket,票券,T,,
1074,tidy,整潔的,T,,
1075,tie,領帶、捆、繫,T,,
1076,tiger,老虎,T,動物,
1077,time,時間,T,時間／星期／月份,
1078,tip,小費、訣竅,T,,
1079,tired,疲倦的,T,,
1080,to,到,T,,
1081,toast,土司、烘烤,T,,
1082,today,今天,T,,
1083,toe,腳趾,T,,
1084,together,一起,T,,
1085,tomato,番茄,T,,
1086,tomorrow,明天,T,,
1087,tonight,今晚,T,,
1088,too,也、太...,T,,
1089,tool,工具,T,,
1090,tooth,牙齒,T,身體,
1091,top,頂端,T,,
1092,topic,主題,T,,
1093,total,總計,T,,
1094,touch,碰觸,T,,
1095,towel,毛巾,T,,
1096,town,城鎮,T,,
1097,toy,玩具,T,,
1098,traffic,交通,T,,
1099,train,火車,T,,
1100,trash,垃圾,T,,
1101,treat,請客、對待,T,,
1102,tree,樹,T,,
1103,trick,惡作劇,T,,
1104,trip,(短程)旅行,T,,
1105,trouble,麻煩,T,,
1106,truck,卡車,T,,
1107,true,真實的,T,,
1108,try,嘗試,T,,
1109,T-shirt,T 恤,T,,
1110,Tuesday,星期二,T,時間／星期／月份,
1111,turn,轉動、轉彎,T,,
1112,turtle,烏龜,T,,
1113,twelve,十二,T,數字,
1114,twenty,二十,T,數字,
1115,twice,兩次,T,,
1116,two,二,T,數字,
1117,type,打字,T,,
1118,typhoon,颱風,T,天氣,
1119,ugly,醜的,U,,
1120,umbrella,雨傘,U,,
1121,uncle,伯(叔),U,家庭,
1122,under,在…之下,U,,
1123,understand,了解,U,,
1124,unhappy,不快樂的,U,,
1125,uniform,制服,U,,
1126,until,直到,U,,
1127,up,向上,U,,
1128,upload,上傳,U,,
1129,U.S.A./USA,美國,U,,
1130,use,使用,U,,
1131,useful,有用的,U,,
1132,usually,通常,U,,
1133,vacation,假期,V,,
1134,vegetable,蔬菜,V,食物,
1135,very,非常,V,,
1136,video,錄影帶,V,,
1137,violin,小提琴,V,,
1138,visit,參觀,V,,
1139,visitor,訪客,V,,
1140,voice,聲音,V,,
1141,wait,等待,W,,
1142,waiter,男服務生,W,,
1143,waitress,女服務生,W,,
1144,wake,醒來,W,,
1145,walk,走路,W,動作,
1146,wall,牆壁,W,,
1147,wallet,皮夾,W,,
1148,want,想要,W,,
1149,warm,溫暖的,W,天氣,
1150,wash,清洗,W,,
1151,watch,看,W,動作,
1152,water,水,W,,
1153,watermelon,西瓜,W,食物,
1154,wave,波浪,W,,
1155,way,道路、方法,W,,
1156,"we (us, our, ours, ourselves)",我們,W,,
1157,weak,弱的,W,,
1158,wear,穿,W,,
1159,weather,天氣,W,天氣,
1160,Wednesday,星期三,W,時間／星期／月份,
1161,week,星期,W,時間／星期／月份,
1162,weekend,週末,W,,
1163,welcome,受歡迎的,W,,
1164,well,好地,W,,
1165,west,西方,W,,
1166,wet,濕的,W,,
1167,what,什麼,W,,
1168,when,何時,W,,
1169,where,何處,W,,
1170,whether,是否,W,,
1171,which,哪一個,W,,
1172,while,當…的時候,W,,
1173,white,白色(的),W,顏色,
1174,who,誰,W,,
1175,whose,誰的,W,,
1176,why,為什麼,W,,
1177,wide,寬的,W,,
1178,wife,妻子,W,家庭,
1179,will (would),將會...,W,,
1180,win,贏,W,,
1181,wind,風,W,天氣,
1182,window,窗戶,W,,
1183,windy,多風的,W,天氣,
1184,winter,冬天,W,,
1185,wise,明智的,W,,
1186,wish,祝福…,W,,
1187,with,和,W,,
1188,without,沒有,W,,
1189,woman,女人,W,,
1190,wonderful,極好的,W,,
1191,word,字,W,,
1192,work,工作,W,,
1193,workbook,作業本,W,,
1194,worker,工人,W,,
1195,world,世界,W,,
1196,worry,擔心,W,,
1197,write,寫,W,動作,
1198,writer,作家,W,,
1199,wrong,錯誤的,W,,
1200,yard,庭院,Y,,
1201,year,年,Y,,
1202,yellow,黃色(的),Y,顏色,
1203,yes (yeah),是,Y,,
1204,yesterday,昨天,Y,,
1205,yet,尚未,Y,,
1206,"you (your, yours, yourself, yourselves)",你(們),Y,,
1207,young,年輕的,Y,形容詞,
1208,yummy,好吃的,Y,,
1209,zebra,斑馬,Z,,
1210,zero,零,Z,數字,
1211,zoo,動物園,Z,,
